StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,reason_mistake,mistake_type,mistake_type_21_TEXT,mistake_cause,mistake_cause_16_TEXT,stress,workflow,experience,comment,email
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"We found your paper in the Retraction Watch database (http://retractiondatabase.org/) and we would like to ask 5 short questions about the mistakes that you identify behind this unfortunate event.  



In this study, we examine the types and causes of data management mistakes made in retracted social science papers. Our survey aims to help researchers by highlighting those honest mistakes that can potentially lead to retractions.



We value your time so we tried to make this survey as short as possible. Completing the survey takes an average of 3 minutes.



We link your answers to the retracted paper only for analytical purposes. Neither the title of the paper nor any information on the authors of the retracted paper will be shared publicly. Only your survey responses and the reasons behind the retraction will be made publicly available in a way that they cannot be linked to you.



I hereby declare that I have understood and accept the information given above and in the detailed informed consent form (https://osf.io/3sc46), and I give my consent to participate in this survey as well as to the processing of all the data I provide and to share my anonymous responses.

 
Marton Kovacs, ELTE University, Hungary

Russell Poldrack, Stanford University, USA

 

Contact:

kovacs.marton@ppk.elte.hu

The OSF page of the project: https://osf.io/v7fc2/","To what degree was the retraction of your work, mentioned in our email, caused by data management mistakes?","Which of the following data management mistake type contributed the most to the retraction of your paper?

 

If you need an explanation for some of these labels, examples of the response options can be found next to each option in parentheses. - Selected Choice","Which of the following data management mistake type contributed the most to the retraction of your paper?

 

If you need an explanation for some of these labels, examples of the response options can be found next to each option in parentheses. - Other, please specify: - Text","What was the main cause of the data management mistake you identified above?
If you need an explanation for some of these labels, examples of the response options can be found next to each option in parentheses. - Selected Choice","What was the main cause of the data management mistake you identified above?
If you need an explanation for some of these labels, examples of the response options can be found next to each option in parentheses. - Other, please specify: - Text",How much stress did you experience due to the retraction of the article?,Did you change anything in your research workflow because of the retraction?,Is there anything else that you would like to share about your experience with the retraction?,"Here, you can leave any comments on the project or lessons learned that you would like to share. Please add your email address here if you would be open to a more in-depth chat about your experience.",NA
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_21_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_16_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID14_TEXT""}",NA
2023-01-19 08:12:30,2023-01-19 08:15:22,IP Address,97,172,False,2023-01-19 08:15:22,R_OVTkzUwXwuWnCvi,anonymous,EN,Yes,partially,"Sharing confidential data (e.g. compromising participants’ anonimity, failure to anonymize participants, not anonymizing data, privacy breach, recording data without ethical permission)",NA,"Technical issue (e.g. computer issue, equipment failure, software error, technical malfunction, wrong equipment settings)",NA,2,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,uwHpd@Wj8eh
2023-01-06 19:12:30,2023-01-06 19:14:31,IP Address,100,121,True,2023-01-06 19:14:31,R_lWJzX12QavR1qOh,preview,EN,Yes,partially,"Other, please specify:",pellentesque id,"Bad skill management (e.g. improper training, inadequate training, insufficient training, insufficient training of coders, lack of training)",NA,4,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,SivFS@wy7TY
2023-01-20 13:12:30,2023-01-20 13:17:44,IP Address,95,314,False,2023-01-20 13:17:44,R_drPzACRSuT5Hvxo,preview,EN,No,not at all,NA,NA,NA,NA,NA,NA,NA,NA,u8zw5@VOuRp
2023-01-04 05:12:30,2023-01-04 05:15:53,Survey Preview,97,203,False,2023-01-04 05:15:53,R_A6Q4dVZbSsPUVfH,anonymous,EN,Yes,it was the main reason,"Incorrect software or hardware settings (e.g. allowing missing data in survey, failure to calibrate data collector equipment, wrong settings in experimental program, wrong software settings)",NA,Risking human error (e.g. experimenter error; lack of automatization; manual task handling instead of code; manually doing a task; multitasking),NA,4,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,joOg0@p0Cub
2023-01-21 05:12:30,2023-01-21 05:17:03,Survey Preview,100,273,True,2023-01-21 05:17:03,R_tJsonvcAeTslrcT,preview,EN,Yes,it was the main reason,"Ambiguous naming/defining of data (e.g. ambiguous naming, inconsistent identifier, incorrect labeling,  non- transparent naming, poor labeling of variables)",NA,"Lack of knowledge/experience (e.g. being unaware of the potentials of the negative outcomes, inexperience, insufficient experience, insufficient skills, lack of experience, lack of routine)",NA,3,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,NR2yQ@xtdyc
2023-01-13 08:12:30,2023-01-13 08:18:59,Survey Preview,95,389,False,2023-01-13 08:18:59,R_vdHxKvgAMvySI3d,anonymous,EN,Yes,partially,Project management error (error in time management; miscommunication; not showing up for data collection; team member left the lab),NA,"Project management issue (e.g. disorganization, error in team management, lack of clear job responsibilities, lack of coordination, lack of supervision)",NA,4,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,KLOm2@kfAGV
2023-01-15 21:12:30,2023-01-15 21:17:23,Survey Preview,98,293,False,2023-01-15 21:17:23,R_tpX9pry4rBMzRrA,anonymous,EN,Yes,it was the main reason,"Oversight in study design or measurement (e.g. ambiguous wording of items, failure to include survey items, inconsistent scoring, incorrect wording of question/item, leaving out questionnaire items)",NA,"Technical issue (e.g. computer issue, equipment failure, software error, technical malfunction, wrong equipment settings)",NA,4,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,fylZq@BGpgE
2023-01-29 22:12:30,2023-01-29 22:16:41,IP Address,99,251,False,2023-01-29 22:16:41,R_BC1g0NykunDd5Ly,anonymous,EN,Yes,partially,"Oversight in study design or measurement (e.g. ambiguous wording of items, failure to include survey items, inconsistent scoring, incorrect wording of question/item, leaving out questionnaire items)",NA,"Carelessness (e.g. negligence, not following protocol, not taking the task seriously, lack of effort, lack of motivation)",NA,6 extreme stress,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,28DTC@i0NV0
